Per capita total expenditure on health,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Niue,249.7383984,326.1043447,308.3079736,297.380203,310.7261119,814.2981524,4145.949048,1263.233761,1581.811408,2016.283397,2034.31563,2582.950769,2802.155796,3040.528234,3280.417198,3573.955444
Norfolk Island,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,
Norway,2155.135765,2265.338754,2348.468959,2536.16246,2779.856742,3041.96735,3264.552259,3627.776036,3834.437502,4078.671071,4304.132995,4608.371886,4887.828109,5228.935532,5352.690316,5426.078177
Oman,470.2605519,475.1292687,482.3446214,552.6631345,534.5506709,656.7863245,707.1469339,749.6850027,755.5538625,740.4978135,683.3461024,656.4692738,748.309066,626.808845,826.0683611,597.5894958
Pakistan,47.24808818,50.38530677,50.43998687,55.07625239,58.29114384,49.31009043,47.25280493,51.29170925,51.38201817,55.35195022,58.64596194,62.77777403,64.10603248,63.89736381,56.73664929,58.72109448
Palau,1287.159646,1448.783866,1434.711378,1275.595185,1322.047594,1427.395951,1181.409532,1152.801898,1144.164459,1367.557497,1357.43313,1430.106392,1540.976346,1412.954623,1430.74656,1408.632798
Panama,449.4053886,428.6998803,451.9474282,479.9469125,480.0114637,559.617051,561.7025159,595.6619375,589.68998,681.0556458,685.9792951,706.8142115,771.0379622,925.9593408,1053.900402,1123.430565
Papua New Guinea,64.02909612,71.27897328,63.40248517,67.41660954,72.93510837,68.8758199,78.07432813,77.49538602,71.86024554,83.62125559,71.56498099,65.5593388,67.44361455,72.18265403,85.00018841,87.71470938
Paraguay,230.9069773,235.7482238,247.5082402,254.5969807,271.8939017,315.7046319,311.2794524,296.210991,254.9491821,248.3278317,252.8081143,270.5010459,270.8202731,282.8634161,295.3263037,302.3537396
Peru,193.6088179,199.6849043,206.428443,211.7413725,230.6086797,230.640823,232.3289041,251.723106,247.5544387,255.6021675,284.889136,317.4813666,396.2058664,497.4650584,465.5919513,481.0280888
Philippines,70.86645471,76.64315135,82.11682528,71.57853965,73.99582075,76.7298126,73.85673752,70.92003161,86.6847241,92.67863254,106.6050184,112.3437048,119.3589569,122.9926207,132.792368,142.3576179
Pitcairn,,,,,,,,,,,,,,,,
Poland,409.6167123,477.1394859,497.1989164,559.1430201,573.2391705,583.4168038,641.5931181,732.688083,748.1352768,807.4153777,856.611188,934.3038686,1077.822073,1264.725107,1390.735156,1476.062888
Portugal,1013.840657,1093.176231,1160.434104,1209.976798,1328.774478,1653.994559,1714.382915,1779.587837,1893.611116,1995.768888,2212.397113,2302.784427,2419.208218,2508.548515,2689.880258,2818.45477
Puerto Rico,,,,,,,,,,,,,,,,
Qatar,1559.674809,1594.043955,1785.178222,2076.023828,737.4814976,1516.798765,1807.924211,2027.895908,3087.672827,3068.674416,2573.585828,2267.077123,1961.862512,1555.886352,1964.619409,1622.472238
Reunion,,,,,,,,,,,,,,,,
Romania,199.3541989,219.7517768,265.0916458,243.8586794,277.3910181,297.2226538,344.4988453,398.4650727,409.4408837,479.2571342,516.7797184,567.7560343,670.0362846,814.650453,818.3744315,811.2469876
Russia,299.9038204,305.4463913,403.9988381,361.5136587,342.6098013,369.3151955,417.1039209,480.1860276,517.0845793,529.8413056,614.7907778,790.5229594,896.3869955,971.6907302,1043.125751,998.3589332
Rwanda,21.41400537,24.43599877,26.0031851,29.8036601,24.80351369,24.72569896,27.16784393,29.09480464,44.38403384,47.27617739,54.86129454,99.43193178,92.36295353,100.6478079,110.648011,121.006764
St. Barthélemy,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,
St. Kitts and Nevis,439.5953889,470.6676068,475.5094942,479.1322766,532.4433385,565.769668,541.363926,537.8339422,515.1632183,523.8733024,559.3764211,730.171679,775.7494526,749.123884,690.5646579,867.5431742
St. Lucia,296.3051432,362.7650736,330.9913633,354.6236027,364.3809471,376.1414361,398.3603522,422.4336693,444.228081,468.7290023,519.2814312,682.1435032,705.7261803,803.6194619,797.5104951,803.9422473
St. Martin,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,170.6783181,175.621869,215.7559965,203.0001805,214.3179598,234.1482894,251.6280385,289.8962037,301.8813507,313.7267305,323.5739066,384.8298655,435.4143156,516.6273175,487.3510377,465.7510183
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,
Samoa,101.1366246,121.5346411,129.0014763,135.7788035,156.9930141,163.2051091,169.9120171,172.330118,171.0199841,175.9095311,189.6630657,214.3340417,248.1247397,248.5567263,234.0506632,282.5559162
San Marino,1929.568327,1969.430218,2033.796053,2158.380537,2375.065215,2465.656433,2553.26955,3196.549132,2607.724625,2833.02434,2900.072838,2948.508847,3069.778186,2998.630151,2831.80428,2853.174199
Sao Tome and Principe,107.369394,133.8494723,270.3246054,245.5127633,284.4807632,304.1210766,100.1086345,108.4958083,143.8168075,147.2577222,155.3811185,133.9113593,135.0865129,136.0481254,144.2619993,142.2764491
Saudi Arabia,467.4458482,483.8489828,515.7500933,580.97766,710.3303101,767.2277183,810.3496331,756.3765556,748.5644961,715.9223504,723.4327633,802.4182467,823.9037904,712.8900927,964.0543499,967.5853952
Senegal,45.3133185,47.57035707,48.71434331,51.29709657,57.39670224,58.54586391,63.73009726,71.03177922,80.32599615,89.94405054,90.4537455,100.6019388,103.7965929,108.4206407,105.988274,108.5671236
Serbia,263.0506764,182.9219345,297.8323832,326.7810592,295.9355536,431.7408145,477.3698668,590.4364065,610.8278371,672.9235099,771.7208385,889.1353545,1047.551543,1190.211093,1162.340494,1169.074299
Serbia and Montenegro,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,
Seychelles,617.5811442,671.2952054,831.1593426,809.1366667,838.0108212,803.3109224,763.9762413,733.0578104,762.3485914,806.1993337,717.1136632,761.8501104,737.4886754,713.6043305,712.0377034,785.3026906
Sierra Leone,63.56341674,68.85140001,54.19988564,52.95682037,58.39835496,58.73407849,65.45901512,80.4338636,44.73174925,82.17764607,93.69242518,90.4220197,94.82995346,107.1392948,109.7696935,107.2479992
Singapore,764.8969826,804.6559664,847.4413969,912.7645535,893.5419575,821.5736146,926.0241352,1018.669756,1407.960069,1388.902341,1529.178375,1604.675125,1690.191363,1910.632469,2110.863961,2272.635937
Slovak Republic,503.8755925,581.2443107,563.6211653,583.7996432,598.8011448,603.7888697,664.4530981,729.8825834,791.2212739,1057.060758,1139.470983,1349.876586,1619.354898,1859.535553,2084.175649,2060.241042
Slovenia,971.2483044,1055.28344,1151.08708,1225.152133,1303.013736,1450.265416,1580.204026,1703.214729,1766.044239,1857.579936,1973.886528,2103.969598,2119.875705,2442.558098,2550.946886,2551.559366
Solomon Islands,78.71796487,73.63910609,78.27918984,84.48901874,89.51531263,91.14016008,117.9512411,107.0959195,114.2659275,110.7569925,170.0032147,149.6837431,144.5236855,150.2551727,227.3950053,227.3240181
Somalia,16.60570497,16.71486593,16.4041969,16.86094429,16.63127081,16.87785021,17.21222331,,,,,,,,,
Somaliland,,,,,,,,,,,,,,,,
South Africa,430.7636331,476.998157,509.4191613,531.5414047,575.1816786,563.6093501,605.8849535,625.105259,658.9363563,706.0370924,748.2765576,781.1080175,831.9937742,890.5258621,929.699462,934.9470591
South Ossetia,,,,,,,,,,,,,,,,
Spain,1189.888115,1246.508139,1297.619963,1382.635787,1450.411706,1537.322016,1635.296467,1745.044544,2022.853572,2130.79753,2268.561795,2536.117496,2734.917146,2971.345747,3066.786344,3027.236137
Sri Lanka,68.61145652,72.50343924,75.57764788,88.37279737,91.11702216,100.6842777,101.3551676,108.0219561,115.0751807,132.9533993,138.7573897,156.0659276,156.7290654,153.5173684,149.0794964,148.4450318
Sudan,31.72492421,39.17058764,40.82570499,44.84980035,43.52481938,41.69647273,46.27902513,49.18832497,56.56782958,61.61744664,64.31115119,87.82435967,120.4943954,146.94518,159.4926534,141.3926298
Suriname,208.1877895,302.226297,336.2964791,378.9947282,333.0388115,350.0050046,374.3646285,347.9672956,344.6580056,392.2644751,415.238268,497.2014684,506.2188738,499.9975204,567.4977982,523.3612709
Svalbard,,,,,,,,,,,,,,,,
Swaziland,144.7847217,162.7368327,159.4569893,176.6044033,175.977097,195.0969293,196.6556075,202.5336317,238.54523,231.2235165,257.8150006,293.6604217,291.2745487,329.8026703,336.2636505,332.6167819
Sweden,1740.834568,1857.528833,1885.26026,1981.589192,2129.441411,2286.077127,2501.158335,2701.798762,2831.930453,2954.103739,2963.241324,3192.661546,3431.914274,3642.877476,3721.540912,3756.862825
Switzerland,2547.278718,2717.24379,2834.26453,2971.567665,3063.488343,3209.522432,3399.905403,3643.78885,3743.986024,3902.81607,3980.975693,4208.192433,4540.274226,4889.042543,5105.300431,5394.036895
Syria,172.3152858,178.1664997,174.0183331,177.3696969,173.5885065,162.9510075,165.2947605,172.401769,181.8456074,173.1803162,169.8724618,167.5291448,177.2514066,164.7992315,182.2002252,174.2012959
Taiwan,,,,,,,,,,,,,,,,
Tajikistan,26.11935006,21.78941812,26.05920566,26.8813072,30.42983169,39.85182979,43.95229937,47.20252159,52.49843226,57.06226046,72.569663,79.96424793,95.11124881,108.0076218,123.18894,128.4349588
Tanzania,22.60249133,22.10984699,24.49790231,23.4032147,23.55231203,25.23719697,27.89417388,28.70003648,33.42433331,33.13912367,41.76013163,72.71807243,68.02009366,69.55669159,73.12352773,83.43022752
Thailand,163.3675475,189.5627661,196.096021,164.3578292,161.0824057,165.4337598,166.8208704,196.9609901,206.3671112,219.0869048,236.855863,250.8475637,274.6241812,317.9135166,327.430405,329.7112208
Timor-Leste,102.5624002,79.16603719,137.4144561,62.80073566,65.67743132,63.72047151,71.91301444,69.96144191,70.78347451,90.12326471,112.5518527,118.8692036,111.0933867,112.8724543,103.0332032,83.98001673
Togo,36.21316988,37.7522899,41.86389228,36.31378505,36.89854767,36.44931555,39.92602156,38.2423521,45.41526244,53.49701107,55.08316866,62.98831349,63.14851567,65.03557765,74.1502958,76.91024446
Tokelau,,,,,,,,,,,,,,,,
Tonga,119.3636884,123.982159,133.353652,145.8649186,168.0128289,162.3730025,205.6315482,191.1831838,200.6005653,195.7688006,269.7135886,234.6818408,291.5715944,280.4935114,209.977872,229.1791651
Transnistria,,,,,,,,,,,,,,,,
Trinidad and Tobago,426.002105,413.5936232,413.6830056,398.1291005,485.2469355,478.5227684,539.9070764,683.9231502,823.1844923,919.9898432,1135.833948,1158.407217,1210.535851,1164.436431,1465.214418,1449.399549
Tunisia,221.5437041,220.7974548,232.1263614,247.3015091,265.59427,290.5906276,302.0056532,310.6369999,335.0279111,381.9363781,404.2018897,440.7518369,469.3588727,497.4312526,478.6039081,482.8881546
Turkey,178.598727,222.7558841,259.9257612,307.9975063,389.3863057,453.8573776,444.4710491,464.2682185,469.2650423,546.0248946,620.8383383,749.1035293,839.4965997,908.6889811,957.2570812,1029.141133
Turkmenistan,51.1648449,50.32841051,66.87535617,70.82407056,59.34904113,83.14340925,93.00507379,101.5214235,131.1921471,147.5335443,152.1276799,144.3244214,153.9044328,149.9095969,180.7625671,198.7678748
Turks and Caicos Islands,,,,,,,,,,,,,,,,
Tuvalu,77.83367427,173.8158035,140.5744819,170.6964942,188.079774,324.9427339,379.7171111,347.9267511,494.4456088,393.8162435,415.1526037,464.2169596,443.8668383,567.6990813,388.3636671,472.7453728
Uganda,34.69990921,37.25542433,36.45742756,34.83936791,45.01463322,45.52484517,51.73276078,57.68425454,61.26598666,63.54225307,82.47212088,99.38038377,100.8191439,116.89568,118.1381123,124.3724119
Ukraine,216.2757459,180.7600462,178.6260595,195.1606672,177.8321668,184.2074799,210.1230971,250.4471077,312.8703518,346.4668557,359.3025666,399.7758137,444.4206364,486.0855385,495.3357893,518.8953602
United Arab Emirates,952.9449949,907.5499983,965.0760967,1166.023088,1090.857518,1019.440493,992.1507112,1084.058631,1108.724243,1071.612217,932.4782565,932.1519201,945.3084981,928.5603181,1956.264294,1543.6431
United Kingdom,1346.228208,1432.962157,1480.879732,1550.900497,1670.911381,1827.562614,1995.590469,2183.822909,2317.4619,2540.224065,2696.792565,2963.948758,3007.451448,3233.60392,3437.991835,3479.557762
United States,3747.692121,3899.976933,4054.627219,4235.837199,4450.044994,4703.467344,5051.944952,5452.996081,5981.681058,6330.932631,6700.269097,7072.560632,7437.292298,7719.627428,7959.953538,8361.732117
Uruguay,798.8739804,799.9630637,684.0332176,734.5769065,734.9654112,719.0688417,698.6270377,642.4322671,581.5491197,735.5885397,797.0104731,858.4057561,896.7782459,976.9969678,1099.396201,1188.09397
USSR,,,,,,,,,,,,,,,,
Uzbekistan,61.10555722,65.20563398,65.85653691,84.63383493,82.57229883,82.17359587,86.28366857,87.79001956,87.91243128,99.89584564,106.2393223,129.8025073,136.601007,149.8925733,176.9862774,184.0923021
Wallis et Futuna,,,,,,,,,,,,,,,,
Vanuatu,36.15636564,32.14979755,41.64719765,123.8608046,111.8507966,120.1190973,118.7862675,118.202141,116.6585095,115.4953585,114.4062563,120.1262467,152.7001807,180.5266241,209.7516562,239.9815016
Venezuela,349.7837684,287.1451155,337.2774233,392.8842186,460.4821998,481.6795027,523.4913773,451.5493278,432.764511,492.103788,536.931943,632.5749922,700.8420768,685.8810806,734.2745567,588.8435109
West Bank and Gaza,,,,,,,,,,,,,,,,
West Germany,,,,,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,,,,,
Vietnam,49.57636309,53.41352695,56.38540247,60.82969979,63.16038205,73.66014777,84.28436893,83.50301315,92.07123439,106.9160056,125.3921323,152.4402568,182.700195,185.6924272,203.5523683,215.3397956
Virgin Islands (U.S.),,,,,,,,,,,,,,,,
North Yemen (former),,,,,,,,,,,,,,,,
South Yemen (former),,,,,,,,,,,,,,,,
Yemen,72.91744041,80.02738803,82.97561208,102.4220864,90.704295,88.9812291,101.0467169,105.0537055,130.5796054,116.4061368,116.4063548,132.9595053,138.615622,140.3260017,139.3767898,122.1849807
Yugoslavia,,,,,,,,,,,,,,,,
Zambia,46.66426564,51.98897511,56.15120431,57.15845155,51.22959017,51.71169977,56.52104559,64.95458479,67.68512474,72.01430927,81.03082115,78.46524952,76.98897776,85.16837247,90.06994791,90.20544252
Zimbabwe,57.58589256,57.57785226,67.27822841,82.68435209,55.23918233,69.54612115,55.95794681,,,,,,,,,
Åland,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,
