"","State.diff","State.lwr","State.upr","State.p.adj"
"FL-AL",3.56089309847002,3.05989158103237,4.06189461590767,0
"GA-AL",1.80083796935671,1.23986954194946,2.36180639676395,0
"HI-AL",6.50090633271724,5.52505684609944,7.47675581933503,0
"IA-AL",4.24979717685009,3.57003446350617,4.92955989019402,0
"ID-AL",4.27167705135804,3.30127542424412,5.24207867847196,0
"IL-AL",3.35148034159356,2.83435921472924,3.86860146845787,0
"IN-AL",1.95150128118071,1.36641260879697,2.53658995356445,0
"KS-AL",3.23691174750573,2.53700598298745,3.93681751202401,0
"KY-AL",0.750414629562982,0.118944203763537,1.38188505536243,0.00222100142266513
"LA-AL",0.558687691717651,-0.0730932755014829,1.19046865893679,0.211888334272232
"MA-AL",5.52625838043986,4.93579705977767,6.11671970110204,0
"MD-AL",3.8853982763697,3.2867555703082,4.4840409824312,0
"MI-AL",2.52602046162605,1.99973782408925,3.05230309916284,0
"MN-AL",5.65492422704631,5.05360266272473,6.25624579136789,0
"MO-AL",2.14306886136907,1.54609332950503,2.74004439323311,0
"MS-AL",0.21295407861146,-0.517100898864177,0.943009056087098,0.99999999994973
"MT-AL",4.00483624510643,2.98869037446624,5.02098211574662,0
"NC-AL",2.5829178399986,2.03279003542521,3.13304564457199,0
"ND-AL",4.58293579261742,3.44692751169288,5.71894407354196,0
"NE-AL",4.21292034621631,3.42332266810124,5.00251802433137,0
"NH-AL",5.14204108448867,4.16619159787087,6.11789057110646,0
"NJ-AL",4.77665753599135,4.22242872996725,5.33088634201545,0
"NM-AL",3.73276596244854,2.92226263280989,4.54326929208719,0
"NV-AL",2.73517096485332,1.99080256017797,3.47953936952868,0
"NY-AL",5.51288757824445,5.0217748736888,6.00400028280009,0
"OH-AL",1.7531122827923,1.23224936721964,2.27397519836496,0
"OK-AL",1.05634571266695,0.416109381874978,1.69658204345893,5.82486748834654e-08
"OR-AL",4.27391080486535,3.59089253931519,4.95692907041552,0
"PA-AL",3.24682970915829,2.7329819739093,3.76067744440728,0
"RI-AL",4.27128057283649,3.19956329561766,5.34299785005532,0
"SC-AL",1.74927401235364,1.11352178347176,2.38502624123552,4.56967796935714e-13
"SD-AL",4.97357252430577,3.87036095690338,6.07678409170815,0
"TN-AL",0.716338159481168,0.122788950709628,1.30988736825271,0.0015670427806076
"TX-AL",3.04999657638649,2.56053340133097,3.53945975144201,0
"UT-AL",4.55243062614211,3.78234636587688,5.32251488640734,0
"VA-AL",3.51269137276859,2.94493795560334,4.08044478993384,0
"VT-AL",6.20829842997995,5.01841993644747,7.39817692351243,0
"WA-AL",4.86141417554838,4.26961767707443,5.45321067402233,0
"WV-AL",0.877019139676563,0.0695779670171451,1.68446031233598,0.01334804712502
"WY-AL",5.34702966484717,3.93072348138969,6.76333584830465,0
"AZ-AR",2.73784241328498,2.03821333412601,3.43747149244395,0
"CA-AR",4.6041141411141,4.0096838314591,5.19854445076909,0
"CO-AR",3.8390537923387,3.11533131022725,4.56277627445016,0
"CT-AR",4.4745051571029,3.70124056514664,5.24776974905915,0
"DC-AR",0.780979091845509,-0.492040126979227,2.05399831067025,0.957535478618883
"DE-AR",2.167039697909,0.98186791795611,3.3522114778619,3.84678511267111e-10
"FL-AR",2.7479806867464,2.13013680010687,3.36582457338593,0
"GA-AR",0.987925557633091,0.320532027299772,1.65531908796641,4.29550473168838e-06
"HI-AR",5.68799392099362,4.64731588801934,6.7286719539679,0
"IA-AR",3.43688476512648,2.6669458751906,4.20682365506236,0
"ID-AR",3.45876463963442,2.42319336459424,4.49433591467461,0
"IL-AR",2.53856792986994,1.90758234553982,3.16955351420007,0
"IN-AR",1.1385888694571,0.450797256877545,1.82638048203665,5.02829067272614e-08
"KS-AR",2.42399933578211,1.63621978096431,3.21177889059991,0
"KY-AR",-0.0624977821606336,-0.790153914164166,0.665158349842898,1
"LA-AR",-0.254224720005965,-0.982150360661213,0.473700920649283,0.999999967766293
"MA-AR",4.71334596871624,4.02097820590435,5.40571373152813,0
"MD-AR",3.07248586464608,2.37312784667271,3.77184388261946,0
"MI-AR",1.71310804990243,1.07459261363194,2.35162348617292,4.75841588354342e-13
"MN-AR",4.84201181532269,4.14035935754807,5.54366427309731,0
"MO-AR",1.33015644964546,0.632224982073345,2.02808791721757,3.7601810554122e-11
"MS-AR",-0.599958333112156,-1.41464159544173,0.214724929217421,0.677711182930072
"MT-AR",3.19192383338282,2.11336879157822,4.27047887518741,0
"NC-AR",1.77000542827498,1.11169763616878,2.42831322038119,4.41424674590962e-13
"ND-AR",3.7700233808938,2.57786426311123,4.96218249867638,0
"NE-AR",3.40000793449269,2.53156505147291,4.26845081751247,0
"NH-AR",4.32912867276505,3.28845063979077,5.36980670573933,0
"NJ-AR",3.96374512426773,3.30200641661198,4.62548383192349,0
"NM-AR",2.91985355072492,2.03236034222226,3.80734675922758,0
"NV-AR",1.92225855312971,1.09472434256077,2.74979276369864,5.31685806492987e-13
"NY-AR",4.69997516652083,4.09012253156795,5.30982780147371,0
"OH-AR",0.940199871068685,0.306144097022062,1.57425564511531,4.03964540962587e-06
"OK-AR",0.243433300943337,-0.491842910455468,0.978709512342143,0.99999999488649
"OR-AR",3.46099839314174,2.68818373304647,4.233813053237,0
"PA-AR",2.43391729743468,1.80561160527239,3.06222298959696,0
"RI-AR",3.45836816111287,2.32730385256435,4.5894324696614,0
"SC-AR",0.936361600630022,0.204986563927722,1.66773663733232,0.000367638878258414
"SD-AR",4.16066011258215,2.99971036766059,5.32160985750371,0
"TN-AR",-0.0965742522424478,-0.791577281743996,0.598428777259101,1
"TX-AR",2.23708416466287,1.62855910559099,2.84560922373476,0
"UT-AR",3.7395182144185,2.88877835071676,4.59025807812024,0
"VA-AR",2.69977896104497,2.02667236437114,3.3728855577188,0
